pair,entry_idx,exit_idx,direction,entry_price,pnl_bps,reason,hold,winner,H,dH_5,imb5,imb10,spread_bps,ret_5,ret_15,ret_30,atr_bps,vol_30,vwap_pos_30,vwap_pos_240,fwd_5,fwd_10,fwd_30,fwd_60,fwd_120,fwd_240
BTC,13429,13669,-1,65899.5,-4.400640369046638,timeout,240,0,0.41060861209757693,-0.040122107472315593,-0.9261828090165963,-0.9669136955126334,0.15174621962230367,27.08398317141203,20.07070361500718,51.5546471633499,4.11340645333316,5.523377213781255,32.941863952338224,55.12040616435954,9.408265616582812,4.248894149424531,3.1107975022570677,1.6692084158453913,-0.9104773177348591,-4.400640369046638
BTC,14314,14360,1,64887.0,-65.0,sl,46,0,0.4197345121834692,-0.02431614530514631,0.8407343091044405,0.06412742822624219,1.8493689028618985,-68.18964527608773,47.61572944974812,134.71405477590625,21.21270164175515,17.866274914895016,46.57179163020997,129.82047538063978,6.087505971921203,-12.868525282414556,2.6199392790537956,-57.02220783824208,-33.05746913865648,67.03962272874398
BTC,15436,15441,1,67029.5,-65.0,sl,5,0,0.3945125259524858,-0.09781692664363417,0.8443702102574179,0.8957376625056594,0.1491880440701482,-22.328240013694824,-21.882652415651236,-30.63857634731604,4.086686778635846,5.0062617484144125,-23.23639382315612,-21.077260777687677,-66.53786765528635,-74.44483399100422,-44.905601265115,-106.9678275982966,-79.66641553345922,-98.76248517443842
BTC,15442,15682,1,66585.0,-40.02402943605876,timeout,240,0,0.4194348362215797,0.06105637850092044,0.3163172288058342,-0.33338891204668625,0.6007359014793121,-66.01767931073033,-93.50800062487453,-98.5166734822851,7.353651079715508,7.411811204232703,-74.723630753315,-85.57402767846223,-5.932267027107807,11.188706165052853,18.848088908913763,-30.787714950815115,-17.196065179845288,-40.02402943605876
BTC,16536,16776,1,66318.5,-65.0,sl,240,0,0.4097742751251341,-0.06378861963299876,0.5261433252600085,0.02718071192994431,0.15078748765427444,29.793637470414414,7.696080280681361,-18.888086207934364,6.155360656744131,6.927791510602538,4.681160604333989,1.0347273839550475,33.022459796285816,35.8874220617178,92.43272993207042,63.25535107096769,49.45829595060181,-74.18744392590271
BTC,17221,17255,1,66095.5,200.0,tp,34,1,0.4285629290629007,-0.0618351126251635,0.172649140546006,-0.688044109112014,0.7564811522720911,69.08686511684525,80.06649331635307,120.96990299438781,13.016879255881989,11.610330020686373,81.41649856276744,25.24078043282252,22.99702702907247,60.82108464267711,177.0165896316689,377.63539121422826,483.240160071412,475.22145985732675
BTC,17354,17594,-1,69962.5,86.33196355190331,timeout,240,1,0.4274629876997068,-0.040832751690625724,-0.783468793129888,-0.43739740337263083,0.1429337144899053,70.31407432996461,96.98299189643711,60.177729207409044,14.45672426555057,15.480917040187846,81.6220622349162,370.75958970644416,29.58727889941004,56.887618366981975,86.61783098088294,152.72467393246393,119.20671788458125,86.33196355190331
BTC,18138,18359,-1,67880.0,200.0,tp,221,1,0.42800082571013903,-0.04371036155652713,-0.5590697674418604,-0.2172350844658225,0.2946375957572186,-31.061145664289526,-48.161152935484175,-82.18577638163471,4.882565872548195,5.638936552037917,-43.12181754243527,-74.95880394107202,-6.334708308779469,-13.037713612256141,-8.470830878020141,-12.153800824985517,-37.27165586328907,215.4537418974656
BTC,18708,18753,1,66589.0,200.0,tp,45,1,0.4311069779407617,-0.02793439598665559,0.979017885356759,0.8226368493770404,1.2013996305696137,-57.03961416135384,-19.634292565947618,38.366159389155996,11.145126930016325,14.268778293822997,-11.931615805113038,-73.70724749588886,15.46802024358307,41.37319977774112,154.0044151436426,272.19210380092784,202.51092522789006,331.0606856988385
BTC,18938,19053,1,68381.0,-65.0,sl,115,0,0.42867880910878786,-0.0488421719686189,0.5435330193845143,-0.1722286038219981,0.2924789049589798,-40.78006437424398,-29.889481818446974,-56.34847350167615,7.761136656590071,7.618583639193326,-29.69334989802008,63.18292701427586,38.97281408578479,60.32377414779022,39.26529299074222,-10.456120852283535,-55.351632763487316,16.744417308902637
BTC,19178,19418,-1,68495.5,40.732602871721426,timeout,240,1,0.4216669645302656,-0.01757818607598932,-0.629073599414134,-0.040374024327429814,0.14599499237176164,24.807540321400978,19.015439073801765,27.81620806523666,4.896046351324435,6.246307409775326,24.639784889439742,21.088475992501188,-16.059449160894523,-4.087859786410242,6.277784671985254,41.46257783357976,52.85018723857782,40.732602871721426
