pair,bar_idx,ret_5_bps,abs_ret_5_bps,direction,mid_price,imb5_before,imb10_before,spread_before,depth_ratio_before,prior_ret_5,vol_30_before,micro_dev_before,total_depth_before,imb5_change
ETH,246827,-575.2828322455262,575.2828322455262,-1,3300.9849999999997,0.4285153819632956,0.537721689267969,0.030293988005893797,3.3263980887031934,-21.794362182399052,16.087721694744808,0.013834777951370832,76.41889999999998,-0.23566943158637704
ETH,121883,-563.2196429881565,563.2196429881565,-1,2248.9449999999997,-0.6602474323062558,-0.6966076594307988,0.04446529372556258,0.17882292283826384,-221.99951739235502,61.77327736286607,-0.02213147700531574,26.064600000000002,-1.3401911042876729
ETH,248342,-546.5876649263136,546.5876649263136,-1,3110.48,0.8705517267977773,0.7900604687212571,3.086340371904132,8.52655265932046,-196.12601864970048,29.045255113891454,1.5123016404398684,211.4647,0.5233387589417011
ETH,366002,-536.3008865348884,536.3008865348884,-1,3082.225,-0.7942533438522172,-0.25981401811068716,0.03244409476990901,0.5875359150228793,19.79757065278198,22.0123409661481,-0.01367324138396064,82.05099999999999,0.15801518641305667
ETH,366003,-528.5174749910171,528.5174749910171,-1,3075.395,-0.47596796873956576,-0.35137050767052436,0.03251614833287522,0.4799790202966432,9.04766786597122,22.32755504407711,-0.008417558589109047,60.6673,0.4559245996085282
ETH,191184,-518.9009564653846,518.9009564653846,-1,3448.635,-0.6537622391414214,-0.6517826649491184,0.028996979963851005,0.2108130460744411,-85.89872402447574,34.06018309906717,-0.005170296865727676,70.5657,-1.5152688703345192
ETH,121882,-504.3284321456887,504.3284321456887,-1,2250.815,-0.5640970661992971,0.3730758560391427,1.643849005804079,2.1901786193209243,-246.26838183516077,61.781841430769404,-0.0699380147718414,47.57959999999999,-0.4018329152559009
ETH,248344,-494.15531111475894,494.15531111475894,-1,3045.5,0.7613856243471708,-0.16721227518076504,3.283533081595797,0.7134843785722369,-353.351462042949,37.4369620064606,1.600221145519068,74.19850000000001,1.4736790918479619
ETH,305347,-481.1676020761491,481.1676020761491,-1,3790.675,0.4758149822098278,0.33020455943673516,0.026380525895159913,1.985986286078775,0.6595566460232405,16.564099377294497,0.0009763516334872547,46.812799999999996,0.7009280483367024
ETH,301040,479.9102011437295,479.9102011437295,1,3153.715,0.4579028889206678,0.3855713001991924,0.031708635687636745,2.255056283419675,26.228236524648008,8.365037175152471,0.00609929355219875,109.3917,1.0607536518217682
ETH,410251,477.730004777297,477.730004777297,1,2250.2250000000004,0.9839338881713929,0.9634471333909534,1.5554000155535956,53.71527093596058,-721.1042843594062,118.37227907604648,-0.7662308074361234,205.4832,1.8162173753862807
ETH,90498,-476.1492380269894,476.1492380269894,-1,2309.465,0.8702403537550817,0.7690678514369926,0.043300071660594686,7.660552514862698,-75.63175072462514,10.214445044829809,0.021646430334076795,73.4207,1.103634965276127
ETH,90500,-471.0861525226273,471.0861525226273,-1,2313.165,0.583831089515577,0.5178685323878464,0.04323081146489022,3.148246141048156,-15.668196797732348,11.11125733697051,0.015462429435182399,71.8078,0.36144988186224236
ETH,199047,-465.5474957921668,465.5474957921668,-1,3769.755,-0.7069561206995215,-0.6310220101225426,0.026526922837739532,0.2262250218497881,-35.02506605198796,27.146143101736484,-0.010844106999273203,106.90990000000001,-0.06721364668856922
ETH,199044,-464.56001148557743,464.56001148557743,-1,3796.065,0.8050238287642361,0.6727855025729044,0.026343068414840836,5.112198621167772,-11.682657962560627,26.25159205553866,0.007464647683827051,126.9577,1.1941748416230367
ETH,366004,-456.5083888083721,456.5083888083721,-1,3053.175,0.8622679069094068,0.7753814732979988,0.1637639506406516,7.903985033493594,-56.56976204549969,25.71733456667341,0.08020024707656374,44.2626,1.4383379687236364
ETH,191185,-452.3597869433704,452.3597869433704,-1,3436.645,-0.1508967641564902,0.07729732975356192,0.029098146594187874,1.167545477532686,-91.22664371584155,34.73481959776971,-0.010385951853023321,58.290499999999994,-0.08244950133046548
ETH,199048,-450.9671436142015,450.9671436142015,-1,3774.0,-0.6056159996606648,-0.649653074240189,0.31796502384708764,0.21237612394422795,-25.385842338193633,27.166226006932796,-0.15875914757860696,67.5793,0.33531468115190355
ETH,248343,-450.7348072753714,450.7348072753714,-1,3081.08,0.2965300063702689,0.12959062932541565,0.12982460695588438,1.297769379998702,-270.483636932044,32.76400223391098,-0.05423604387501125,31.861099999999993,0.21201006680706208
ETH,301039,449.68397876540945,449.68397876540945,1,3142.9849999999997,0.6654075718021746,0.6521740737557744,0.031816887448599125,4.750002656776374,-11.853631485534422,5.6689422247394985,0.01339817071300048,108.2139,1.3632450315587559
ETH,366005,-448.714492291854,448.714492291854,-1,3060.075,0.5139680443681499,0.5695190240101867,0.03267893760696562,3.6459660508838088,23.71566101672551,26.16885014982147,0.008468476514593206,58.271100000000004,0.7147208384812691
ETH,410965,433.77647265356865,433.77647265356865,1,2193.065,0.8838629391504974,0.713689326181379,0.04559828368159757,5.985418927367719,-75.6634695230518,41.98643589238084,0.021702183224426772,194.40840000000003,0.5318172927057515
ETH,366001,-411.22235698303757,411.22235698303757,-1,3054.795,-0.28026634382566573,0.16236549937369196,0.032735420871836826,1.3876762460292398,-61.845172351532305,19.827994008159273,-0.0022706598628438866,38.55929999999999,0.5954507296845749
ETH,301041,410.0497376741341,410.0497376741341,1,3189.7349999999997,0.48633247997357326,0.40095218100920355,0.0313505667391289,2.3386316360676496,143.12857245069034,22.44331995556293,0.011051627156083738,44.2983,-0.07043284455604154
ETH,199046,-406.43089203508345,406.43089203508345,-1,3772.105,-0.5638765022567839,-0.4077208759303926,0.026510396715410306,0.4207361943667687,-26.229334814021897,27.308996025436052,-0.011068787860259456,71.4349,-0.5113207576488111
ETH,199045,-406.1194193610651,406.1194193610651,-1,3782.385,0.49634903208207753,0.39389139845822563,0.026438345117600487,2.2997386852992143,-26.9471774677299,26.937021872438446,0.007251072705059315,58.46509999999999,0.020165709980664193
ETH,410966,402.45754679274273,402.45754679274273,1,2189.175,0.12280581324651388,-0.08556219023658077,0.04567930841419042,0.8423633560451588,-114.78396727166884,41.93117741214126,0.010156658035683858,37.044399999999996,-0.20725369883325598
ETH,410537,-400.6960561968209,400.6960561968209,-1,2264.185,0.6540369118479226,0.6945691885353323,0.04416600233734558,5.548127840832985,-71.08417620631525,30.908623694688213,0.018711417530652016,73.32790000000001,1.1726616294049728
ETH,191186,-395.5552245388527,395.5552245388527,-1,3423.795,0.257577403585008,0.14490989041950506,0.02920735616536118,1.3389347831203369,-132.0323206820373,35.4474571223224,0.009268902309305268,69.5653,0.860838871402781
ETH,410241,-394.4072009268529,394.4072009268529,-1,2524.675,0.9657052333244636,0.9687991454259519,0.03960905859076329,63.10080836899665,44.8395702244575,50.00609293058351,0.018898731105483582,40.44119999999999,1.5792682679868677
ETH,105473,394.1320009555249,394.1320009555249,1,2239.605,0.7587492298445512,0.5487379739323741,0.04465073082181134,3.432014848287459,11.577928623633937,6.162369125900525,0.019293401932351333,162.6155,0.2988244240698882
